大カテゴリ,算定項目（略称）,選択方式,算定項目正式名称,点数,手動入力,必須医院資格　届出,担当,時間制限,回数制限,条件判定,提供文書,その他,インフォメーション文字列
歯訪,歯訪 １(20分以上),択一,歯科訪問診療料,1100,FALSE,歯科訪問診療 注15,DR,20分以上,,「同一日かつ同一施設」の中で1人のみ診療した場合の点数。,訪問歯科診療治療内容説明書,,
〃,歯訪 ２(20分以上),〃,〃,410,FALSE,〃,〃,〃,,「同一日かつ同一施設」の中で2～3人を診療した場合の点数。,〃,,
〃,歯訪 ３(20分以上),〃,〃,310,FALSE,〃,〃,〃,,「同一日かつ同一施設」の中で4~9人のみ診療した場合の点数。,〃,,
〃,歯訪 ４(20分以上),〃,〃,160,FALSE,〃,〃,〃,,「同一日かつ同一施設」の中で10~19人を診療した場合の点数。,〃,,
〃,歯訪 ５(20分以上),〃,〃,95,FALSE,〃,〃,〃,,「同一日かつ同一施設」の中で20人以上を診療した場合の点数。,〃,,
〃,歯訪 １(20分未満),〃,〃,1100,FALSE,〃,〃,20分未満,,「同一日かつ同一施設」の中で1人のみ診療した場合の点数。,〃,,
〃,歯訪 ２(20分未満),〃,〃,287,FALSE,〃,〃,〃,,「同一日かつ同一施設」の中で2～3人を診療した場合の点数。,〃,,
〃,歯訪 ３(20分未満),〃,〃,217,FALSE,〃,〃,〃,,「同一日かつ同一施設」の中で4~9人のみ診療した場合の点数。,〃,,
〃,歯訪 ４(20分未満),〃,〃,96,FALSE,〃,〃,〃,,「同一日かつ同一施設」の中で10~19人を診療した場合の点数。,〃,,
〃,歯訪 ５(20分未満),〃,〃,57,FALSE,〃,〃,〃,,「同一日かつ同一施設」の中で20人以上を診療した場合の点数。,〃,,
訪補助,1人,択一,歯科訪問診療補助加算,115,FALSE,,DR / DH両方必要,,,「同一日かつ同一施設」の中で1名のみの診療があった場合,なし,,
〃,2人以上 / 口管強あり,〃,,50,FALSE,口管強,〃,,,"施設基準登録で口管強にチェックが入っている場合の点数。
「同一日かつ同一施設」の中で２名以上の診療があった時の点数",,,
〃,2人以上 / 口管強なし,〃,,30,FALSE,,〃,,,"Drの訪問診療時に、DHが同行して診療のお手伝いをした場合に加算する点数。
施設基準登録で口管強の登録が無い場合の点数。
「同一日かつ同一施設」の中で２名以上の診療があった時の点数",なし,,
歯在管,歯援診1,択一,歯科疾患在宅療養管理料,340,FALSE,歯援診 １,DR,,同一人物内では、月の最初の診療のみ,医院マスターで歯援診１の登録がある医院の点数。,,,管理計画はカルテに記入する
〃,歯援診2,〃,,230,FALSE,歯援診 ２,〃,,〃,医院マスターで歯援診２の登録がある医院の点数,,,
〃,歯援診なし / 歯援診（その他）,〃,,200,FALSE,,〃,,〃,医院マスターで歯援診の登録がない医院の点数,,,
歯在管文書提供加算,文,,文書提供加算（在宅・訪問関連）,10,FALSE,,〃,,同一人物内では、月の最初の診療のみ,歯在管とセット出なければ算定不可。,歯在管管理計画書,,歯在管を算定して、患者さんや家族へ、管理計画の内容を文章にして提供した場合に算定できる点数。文章提供するかしないかは医院によって違うので、歯在管を算定するから必ず算定するものではない。算定した場合は管理計画書を作成して施設からご家族さんに渡してもらう。
在歯管,在歯管,,在宅患者歯科治療総合医療管理料,45,FALSE,在歯管,,,,"以下の3条件に全て当てはまるときに算定可能。
1. 医院マスターに在歯管の届出にチェックが入っている。　
2. 患者さんマスターの中で、基礎疾患に一個でもチェックが入っている。
3. その日にDrの診療があり、該当する診療を行った場合。
（「該当する治療」は、「在歯管の算定対象治療」シートの一覧から選択）
患者さんマスターの疾患名で、：注の疾患は在歯管対象の疾患ではない",,"算定項目の入力欄の横に
「対象の治療」ボタンを表示。押すとモーダルを起動し、「在歯管の算定対象治療」の中でどれが該当するかを選択可能。また、左記述「1」と「2」の条件が揃っている時には該当ボタンをハイライト。",
訪衛指,同月内1人,択一,訪問歯科衛生指導料,362,FALSE,,DH,20分以上,,"DHがDrと一緒、または単独で、その利用者さんに対して20分以上の診療を行った場合に算定。
その施設で、1月に何人見たかで点数が変わる。",訪問歯科衛生指導説明書 ,重要メモ参照,
〃,同月内2〜9人,〃,,326,FALSE,,〃,,,〃,,,20分未満で算定しようとしたときは、在口衛の算定をしますか？のコメント
〃,同月内10人以上,〃,,295,FALSE,,〃,,,〃,,,
在口衛,在口衛,,在宅等療養患者専門的口腔衛生処置,130,TRUE,,,,同一人物内では、月の最初の診療のみ,"・Dr同席必須。
・訪衛指とっている場合はNG。
・SPT、P重防、訪問口腔リハを算定した日以降は算定できない。",,,
NST2,NST2,,在宅歯科栄養サポートチーム等連携指導料,100,TRUE,,,,毎月1回,一度入力したら毎月算定するものなので、Drの月初めの診療の時に標準でチェックが入ると良いと思います。,,"2か月に1度は多職種会議に参加する事。
口腔機能低下などにかかわることに対して、訪問している利用者さん全員分のコメントを行う事",
"口腔機能低下症
（検査）",舌圧,複数,舌圧検査（口腔機能検査の一部）,140,TRUE,,,,3か月毎に1回,,精密検査表,一度算定したら、「次回の算定はMM月になります」とメッセージ,"口腔機能管理計画書を立てて、カルテに保存する必要がある
独立した文書提供の必要はないが、歯在管の計画には口腔機能低下症のための要点を盛り込む必要がある

管理計画見直しは半年に1回は必要。"
〃,咬合圧 1,〃,咬合圧検査 １,130,TRUE,届出必要,,,3か月毎に1回,,〃,〃,
〃,口菌検2,〃,口腔細菌定量検査 2,65,TRUE,届出必要,,,3か月毎に1回,,〃,〃,口腔機能低下症の判定のための口菌検は２番の方。1番：130点は口腔バイオフィルム感染症の診断をするときの点数。
〃,咀嚼 １,〃,咀嚼能力検査１,140,TRUE,届出必要,,,3か月毎に1回,,〃,〃,
歯リハ３,歯リハ３,複数,歯科口腔リハビリテーション料 ３,60,FALSE,,Dr,,,"Drの診療必須。月に2回まで算定可能です。
口腔機能精密検査 記録用紙に記入があった場合。
",,"Drの診療があった場合、月に2回まで算定可能なため、１度算定したらその後は、以下のように毎月コメントが出るようにしたい。
「1/2回目算定しますか？」「2/2回目算定しますか？」
訪衛指のみでは算定不可",
〃,口管強届出あり,〃,,50,FALSE,口管強,,,,施設基準で口管強の届出があれば、＋50点になります。,,,
