No,カテゴリNo,感情,一般カテゴリ,コメントカテゴリ,カテゴリに関するコメント,感想原文（参照用）
1,1,好意的,店舗・立地,来店のルーティンがある,朝早めに駅に着いた時に利用してます。,"朝早めに駅に着いた時に利用してます。
店員さんの対応が早くてささっとカフェオレなど出してくれて嬉しいです☺️
この前キッシュを食べたら具がぎっしりで美味しかったです。
今日は紅茶とりんごのパンを頂きました。これも美味しかったです。
紅茶味が好きなのでこれからもいろんな紅茶味のパンを出してくれたら嬉しいです。
またほっと一息つきに寄らせてください。
いつもありがとうございます。"
1,2,好意的,接客・サービス,接客が丁寧・細やかな気配り,店員さんの対応が早くてささっとカフェオレなど出してくれて嬉しいです☺️,"朝早めに駅に着いた時に利用してます。
店員さんの対応が早くてささっとカフェオレなど出してくれて嬉しいです☺️
この前キッシュを食べたら具がぎっしりで美味しかったです。
今日は紅茶とりんごのパンを頂きました。これも美味しかったです。
紅茶味が好きなのでこれからもいろんな紅茶味のパンを出してくれたら嬉しいです。
またほっと一息つきに寄らせてください。
いつもありがとうございます。"
1,3,好意的,商品・メニュー,推しパン（メニュー）がある,この前キッシュを食べたら具がぎっしりで美味しかったです。,"朝早めに駅に着いた時に利用してます。
店員さんの対応が早くてささっとカフェオレなど出してくれて嬉しいです☺️
この前キッシュを食べたら具がぎっしりで美味しかったです。
今日は紅茶とりんごのパンを頂きました。これも美味しかったです。
紅茶味が好きなのでこれからもいろんな紅茶味のパンを出してくれたら嬉しいです。
またほっと一息つきに寄らせてください。
いつもありがとうございます。"
1,4,好意的,商品・メニュー,パンが美味しい・満足,今日は紅茶とりんごのパンを頂きました。これも美味しかったです。,"朝早めに駅に着いた時に利用してます。
店員さんの対応が早くてささっとカフェオレなど出してくれて嬉しいです☺️
この前キッシュを食べたら具がぎっしりで美味しかったです。
今日は紅茶とりんごのパンを頂きました。これも美味しかったです。
紅茶味が好きなのでこれからもいろんな紅茶味のパンを出してくれたら嬉しいです。
またほっと一息つきに寄らせてください。
いつもありがとうございます。"
1,5,リクエスト,商品・メニュー,メニューへのリクエスト,紅茶味が好きなのでこれからもいろんな紅茶味のパンを出してくれたら嬉しいです。,"朝早めに駅に着いた時に利用してます。
店員さんの対応が早くてささっとカフェオレなど出してくれて嬉しいです☺️
この前キッシュを食べたら具がぎっしりで美味しかったです。
今日は紅茶とりんごのパンを頂きました。これも美味しかったです。
紅茶味が好きなのでこれからもいろんな紅茶味のパンを出してくれたら嬉しいです。
またほっと一息つきに寄らせてください。
いつもありがとうございます。"
1,6,好意的,店舗・立地,お店への感謝・応援の声,"またほっと一息つきに寄らせてください。
いつもありがとうございます。","朝早めに駅に着いた時に利用してます。
店員さんの対応が早くてささっとカフェオレなど出してくれて嬉しいです☺️
この前キッシュを食べたら具がぎっしりで美味しかったです。
今日は紅茶とりんごのパンを頂きました。これも美味しかったです。
紅茶味が好きなのでこれからもいろんな紅茶味のパンを出してくれたら嬉しいです。
またほっと一息つきに寄らせてください。
いつもありがとうございます。"
2,1,好意的,接客・サービス,接客が丁寧・細やかな気配り,"肩の怪我をして、左腕を三角巾のようなもので吊って生活しています。
今日もその状態で行きましたが、パンと紅茶をのせたトレイを前に「大丈夫ですか?」とレジの女性が声をかけてくれました。
この状態で3ヶ月になりますが、今まで一度もそのような声をかけてもらったことがなかったので、一瞬何を言われたのかわからず止まってしまいました。
テーブルへ運ぶことへの気遣い、声をかけてくれたことに心から感謝します。
どうもありがとうございました。","肩の怪我をして、左腕を三角巾のようなもので吊って生活しています。
今日もその状態で行きましたが、パンと紅茶をのせたトレイを前に「大丈夫ですか?」とレジの女性が声をかけてくれました。
この状態で3ヶ月になりますが、今まで一度もそのような声をかけてもらったことがなかったので、一瞬何を言われたのかわからず止まってしまいました。
テーブルへ運ぶことへの気遣い、声をかけてくれたことに心から感謝します。
どうもありがとうございました。"
3,1,好意的,店舗・立地,来店のルーティンがある,学校帰り、バイトまでの空き時間によく立ち寄ります。,"学校帰り、バイトまでの空き時間によく立ち寄ります。1人席が多くて居心地がよく、パンも美味しいので気に入っています
ただ、メニューが店舗によって少ないので少し残念です"
3,2,好意的,運営・設備,清潔で雰囲気・居心地がいい,1人席が多くて居心地がよく、,"学校帰り、バイトまでの空き時間によく立ち寄ります。1人席が多くて居心地がよく、パンも美味しいので気に入っています
ただ、メニューが店舗によって少ないので少し残念です"
3,3,好意的,商品・メニュー,パンが美味しい・満足,パンも美味しいので気に入っています,"学校帰り、バイトまでの空き時間によく立ち寄ります。1人席が多くて居心地がよく、パンも美味しいので気に入っています
ただ、メニューが店舗によって少ないので少し残念です"
