アプリ,No,項目,詳細・備考①,詳細・備考②,工数(h),費用(万円)
AI行政書士くん II,1,基礎・土台の開発,"デプロイ環境構築、共通レイアウト、OGP・メタデータ設定","認証不要・DB不使用のため軽量構成",10,15
AI行政書士くん II,2,利用規約同意画面,"利用規約・プライバシーポリシーの表示、同意チェックボックス、同意状態のlocalStorage保存","保利国際法務事務所提供テキストを表示",4,6
AI行政書士くん II,3,ステップ式入力フォーム（STEP1〜3）,"STEP1: PDF複数アップロード（必須1+任意N個）、STEP2: 公募要領PDF、STEP3: 採択状況セレクト・日付入力","ウィザードUI + ステップインジケーター + localStorage永続化（途中離脱対応）",24,36
AI行政書士くん II,4,AI分析処理（Gemini連携）,"Gemini 2.5 Flash API連携、プロンプト設計、JSONスキーマ定義、プログレス表示","PDF→Base64変換、エラーハンドリング、Server Actions実装",16,24
AI行政書士くん II,5,結果表示画面,"やることリスト（テーブル表示、約20件、5カラム）、実績報告ガイド（Markdownレンダリング）","タブ切替UI、レスポンシブテーブル対応",12,18
AI行政書士くん II,6,Excel生成・メール配信,"テンプレートExcelにやることリストを書き込み、メールアドレス入力→メール送付","xlsx生成ライブラリ + メール送信API",13,20
AI行政書士くん II,7,利用制限機能,"同一端末・同一ブラウザで1日2回制限、localStorage回数管理","日付リセット処理",3,5
AI行政書士くん II,,合計,,,82,124
スケジュール秘書,1,基礎・土台の開発,"サーバー・DB構築（日程調整セッション管理）、共通レイアウト、デプロイ環境","中規模アプリ（認証あり・DB必要）",25,38
スケジュール秘書,2,Google OAuth認証,"Calendar + Gmail スコープのOAuth認証フロー、トークン保存・リフレッシュ","GCP OAuth同意画面設定、スコープ管理",10,15
スケジュール秘書,3,AIチャットUI,"チャット形式の対話画面、自然言語コマンド解釈、AIレスポンス表示","LLM連携、対話コンテキスト管理、ストリーミング表示",25,38
スケジュール秘書,4,Googleカレンダー連携,"空き状況読取・候補日抽出、仮予定登録・一括解除、確定予定登録","Calendar API、営業日判定、重複チェックロジック",20,30
スケジュール秘書,5,Gmail連携（送信）,"日程打診メール自動作成・送信、再調整メール自動作成","メールテンプレート管理、下書き/送信の選択対応",10,15
スケジュール秘書,6,Gmail連携（受信・検知）,"返信メール自動検知、日程確定の自動判定、カレンダー連動","Webhook/ポーリング、自然言語解析で日時抽出",15,23
スケジュール秘書,7,未返信アラート・通知,"翌営業日チェック、未返信検知、ChatWork API経由で通知送信","スケジューラ（cron等）、ChatWork Webhook設定",12,18
スケジュール秘書,8,日程調整管理画面,"進行中の調整一覧、ステータス管理、調整履歴","一覧画面 + 状態遷移管理",18,27
スケジュール秘書,,合計,,,135,204
,,総合計,,,217,328
